ID,treatment,salinity,plant_part,initial_weight,d5_weight,final_weight
ct216,4,28 ppt,canopy,0.5246,0.5807,0.5769
ct217,1,35 ppt,canopy,0.4739,0.4815,0.4473
ct218,1,28 ppt,canopy,0.5117,0.6192,0.5591
ct219,2,35 ppt,canopy,0.5247,0.6091,0.4921
ct220,2,28 ppt,canopy,0.4677,0.5612,0.5409
ct221,3,35 ppt,canopy,0.4099,0.5109,0.4596
ct222,3,28 ppt,canopy,0.5474,0.6159,0.5232
ct223,4,35 ppt,canopy,0.5447,0.6926,0.6169
ct224,4,28 ppt,canopy,0.5332,0.6235,0.5487
ct225,1,35 ppt,canopy,0.5151,0.5226,0.5113
ct226,1,28 ppt,canopy,0.576,0.6499,0.6157
ct227,2,35 ppt,canopy,0.5281,0.6165,0.6069
ct228,2,28 ppt,canopy,0.5444,0.5507,0.5481
ct229,3,35 ppt,canopy,0.4717,0.4894,0.5528
ct230,3,28 ppt,canopy,0.508,0.5666,0.6324
ct231,4,35 ppt,canopy,0.4781,0.4842,0.4975
ct232,4,28 ppt,canopy,0.4947,0.5305,0.5148
ct233,1,35 ppt,canopy,0.3721,0.3968,0.3796
ct234,1,28 ppt,canopy,0.5063,0.5884,0.6039
ct235,2,35 ppt,canopy,0.4971,0.5784,0.5951
ct236,2,28 ppt,canopy,0.5437,0.6314,0.5971
ct237,3,35 ppt,canopy,0.5542,0.6405,0.7221
ct238,3,28 ppt,canopy,0.4735,0.512,0.527
ct239,4,35 ppt,canopy,0.4991,0.5448,0.6005
ct240,4,28 ppt,canopy,0.4455,0.4806,0.4961
ct241,1,35 ppt,canopy,0.5442,0.6316,0.5581
ct242,1,28 ppt,canopy,0.5232,0.5966,0.5267
ct243,2,35 ppt,canopy,0.5237,0.6325,0.6458
ct244,2,28 ppt,canopy,0.5094,0.5233,0.4548
ct245,3,35 ppt,canopy,0.4416,0.4977,0.5
ct246,3,28 ppt,canopy,0.4682,0.4737,0.5196
ct247,4,35 ppt,canopy,0.4781,0.5053,0.5185
ct248,4,28 ppt,canopy,0.3266,0.3155,0.2992
ct249,1,35 ppt,under,0.5315,0.5931,0.6151
ct250,1,28 ppt,under,0.5913,0.6447,0.7116
ct251,2,35 ppt,under,0.5478,0.5897,0.6323
ct252,2,28 ppt,under,0.4795,0.5279,0.5127
ct253,3,35 ppt,under,0.4096,0.4465,0.4518
ct254,3,28 ppt,under,0.3151,0.3433,0.3408
ct255,4,35 ppt,under,0.5413,0.5987,0.6399
ct256,4,28 ppt,under,0.4296,0.5089,0.5413
ct257,1,35 ppt,under,0.5855,0.6463,0.6505
ct258,1,28 ppt,under,0.5324,0.6062,0.6313
ct259,2,35 ppt,under,0.4121,0.4385,0.4412
ct260,2,28 ppt,under,0.5662,0.5681,0.5778
ct261,3,35 ppt,under,0.3939,0.4283,0.4307
ct262,3,28 ppt,under,0.4474,0.4809,0.502
ct263,4,35 ppt,under,0.3415,0.339,0.3549
ct264,4,28 ppt,under,0.5658,0.6323,0.6109
ct265,1,35 ppt,under,0.4724,0.5226,0.5445
ct266,1,28 ppt,under,0.3553,0.3876,0.3959
ct267,2,35 ppt,under,0.4097,0.4255,0.4262
ct268,2,28 ppt,under,0.5738,0.6472,0.6857
ct269,3,35 ppt,under,0.3583,0.3639,0.3801
ct270,3,28 ppt,under,0.3638,0.409,0.4626
ct271,4,35 ppt,under,0.3027,0.3347,0.3388
ct272,4,28 ppt,under,0.3016,0.3444,0.3366
ct273,1,35 ppt,under,0.5127,0.5753,0.5809
ct274,1,28 ppt,under,0.5739,0.6642,0.6266
ct275,2,35 ppt,under,0.4399,0.5514,0.5065
ct276,2,28 ppt,under,0.5974,0.6301,0.6484
ct277,3,35 ppt,under,0.3486,0.3705,0.3344
ct278,3,28 ppt,under,0.5534,0.5812,0.6093
ct279,4,35 ppt,under,0.5351,0.5908,0.5866
ct280,4,28 ppt,under,0.4416,0.5229,0.5831
ct281,1,35 ppt,under,0.5373,0.6159,0.6142
ct282,1,28 ppt,under,0.552,0.6271,0.6493
ct283,2,35 ppt,under,0.4579,0.4777,0.4512
ct284,2,28 ppt,under,0.3215,0.3507,0.3721
ct285,3,35 ppt,under,0.4352,0.4611,0.4692
ct286,3,28 ppt,under,0.5333,0.6147,0.6257
ct287,4,35 ppt,under,0.5692,0.6923,0.7269
ct288,4,28 ppt,under,0.559,0.6299,0.6369
ct289,1,35 ppt,under,0.4488,0.4768,0.4763
ct290,1,28 ppt,under,0.4388,0.4883,0.4869
ct291,2,35 ppt,under,0.4528,0.4773,0.5003
ct292,2,28 ppt,under,0.3311,0.3857,0.3696
ct293,3,35 ppt,under,0.4371,0.4477,0.4642
ct294,3,28 ppt,under,0.5349,0.5471,0.5594
ct295,4,35 ppt,under,0.5288,0.5622,0.5811
ct296,4,28 ppt,under,0.5822,0.6193,0.6033
