"","Date","rlc_end_time","specimenID","uid","plant_part","plantID","salinity","treatment","day_group","rlc_day","pmax","rETRmax","rETRmaxYpoint1","maxNPQ_Ypoint1","deltaNPQ","alpha.est","alpha.st_err","alpha.t","alpha.p","ek.est","ek.st_err","ek.t","ek.p","run"
"103","2024-08-11","08:16:12","ct127","2024-08-11_ct127","canopy",27,"35","2","c_d9_r2","9",58.87,58.22,55.02,0.55,0.25,0.419,0.011,36.922,0,140.407,8.545,16.432,0,"2"
"104","2024-08-11","08:20:51","ct128","2024-08-11_ct128","canopy",28,"28","2","c_d9_r2","9",85.59,75.18,75.18,0.946,0.523,0.576,0.034,16.852,0,148.71,20.269,7.337,0,"2"
"105","2024-08-11","08:25:13","ct137","2024-08-11_ct137","canopy",37,"35","3","c_d9_r2","9",80.19,73.92,73.92,0.816,0.457,0.531,0.02,26.533,0,150.93,13.14,11.487,0,"2"
"106","2024-08-11","08:29:47","ct138","2024-08-11_ct138","canopy",38,"28","3","c_d9_r2","9",45.13,50.02,43.68,0.381,0.12,0.418,0.008,49.564,0,107.846,4.41,24.454,0,"2"
"107","2024-08-11","08:34:14","ct139","2024-08-11_ct139","canopy",39,"35","4","c_d9_r2","9",81.5,76.25,76.25,0.82,0.404,0.522,0.018,29.769,0,156.217,12.282,12.72,0,"2"
"108","2024-08-11","08:38:43","ct140","2024-08-11_ct140","canopy",40,"28","4","c_d9_r2","9",101.43,101.68,101.68,0.727,0.524,0.514,0.005,94.207,0,197.301,5.358,36.822,0,"2"
"109","2024-08-11","08:43:40","ct133","2024-08-11_ct133","canopy",33,"35","1","c_d9_r2","9",92.61,88.56,88.56,1.395,0.86,0.636,0.029,21.828,0,145.532,15.188,9.582,0,"2"
"110","2024-08-11","08:48:15","ct134","2024-08-11_ct134","canopy",34,"28","1","c_d9_r2","9",84.35,80.64,80.64,1.274,0.829,0.767,0.052,14.771,0,110.023,15.218,7.23,0,"2"
"111","2024-08-11","08:52:42","ct135","2024-08-11_ct135","canopy",35,"35","2","c_d9_r2","9",112.21,111.52,111.52,0.932,0.622,0.616,0.012,50.564,0,182.01,8.929,20.384,0,"2"
"112","2024-08-11","08:57:26","ct136","2024-08-11_ct136","canopy",36,"28","2","c_d9_r2","9",108.06,94.5,94.5,0.735,0.5,0.607,0.027,22.255,0,178.145,19.695,9.045,0,"2"
"113","2024-08-11","09:02:31","ct145","2024-08-11_ct145","canopy",45,"35","3","c_d9_r2","9",72.26,77.9,73.75,0.429,0.353,0.524,0.009,57.12,0,137.85,5.384,25.602,0,"2"
"114","2024-08-11","09:07:16","ct146","2024-08-11_ct146","canopy",46,"28","3","c_d9_r2","9",106.83,96.6,96.6,2.26,1.904,0.602,0.02,29.468,0,177.455,14.794,11.995,0,"2"
"115","2024-08-11","09:12:03","ct147","2024-08-11_ct147","canopy",47,"35","4","c_d9_r2","9",78.34,75,75,0.756,0.527,0.676,0.027,25.381,0,115.934,9.527,12.169,0,"2"
"116","2024-08-11","09:16:35","ct148","2024-08-11_ct148","canopy",48,"28","4","c_d9_r2","9",100.02,104.96,104.96,0.562,0.487,0.569,0.009,64.198,0,175.914,6.71,26.219,0,"2"
"117","2024-08-11","09:21:18","ct141","2024-08-11_ct141","canopy",41,"35","1","c_d9_r2","9",107.4,101.64,101.64,1.325,1.182,0.767,0.028,27.181,0,140.02,11.562,12.11,0,"2"
"118","2024-08-11","09:26:08","ct142","2024-08-11_ct142","canopy",42,"28","1","c_d9_r2","9",103.65,97.44,97.44,0.817,0.648,0.672,0.024,28.321,0,154.129,12.672,12.163,0,"2"
