Datetime,Date,Time,Type,no,F,FmPrime,PAR,YII,ETR,FvFm
04:04.1,6/17/25,12:04:04,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:04.1,6/17/25,12:04:04,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
04:05.5,6/17/25,12:04:05,FO,81,88,155,0,0.432,0,0.432
04:14.9,6/17/25,12:04:14,SLCE,,Light Curve end ,,,,,
05:09.6,6/17/25,12:05:09,SLCS,,Light Curve start ,3,,,,
05:09.6,6/17/25,12:05:09,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:09.6,6/17/25,12:05:09,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:11.0,6/17/25,12:05:11,FO,82,121,212,0,0.429,0,0.429
05:18.4,6/17/25,12:05:18,SLCE,,Light Curve end ,,,,,
05:44.3,6/17/25,12:05:44,SLCS,,Light Curve start ,4,,,,
05:44.3,6/17/25,12:05:44,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:44.3,6/17/25,12:05:44,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
05:45.8,6/17/25,12:05:45,FO,83,115,234,0,0.509,0,0.509
05:51.9,6/17/25,12:05:51,SLCE,,Light Curve end ,,,,,
06:45.0,6/17/25,12:06:45,SLCS,,Light Curve start ,4,,,,
06:45.0,6/17/25,12:06:45,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:45.0,6/17/25,12:06:45,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
06:46.4,6/17/25,12:06:46,FO,84,168,181,0,0.072,0,0.072
06:55.8,6/17/25,12:06:55,SLCE,,Light Curve end ,,,,,
07:04.4,6/17/25,12:07:04,SLCS,,Light Curve start ,4,,,,
07:04.4,6/17/25,12:07:04,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:04.4,6/17/25,12:07:04,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:05.8,6/17/25,12:07:05,FO,85,152,348,0,0.563,0,0.563
07:13.2,6/17/25,12:07:13,SLCE,,Light Curve end ,,,,,
07:22.5,6/17/25,12:07:22,SLCS,,Light Curve start ,4,,,,
07:22.5,6/17/25,12:07:22,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:22.5,6/17/25,12:07:22,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
07:23.9,6/17/25,12:07:23,FO,86,288,374,0,0.23,0,0.23
07:30.5,6/17/25,12:07:30,SLCE,,Light Curve end ,,,,,
10:14.0,6/17/25,12:10:13,SLCS,,Light Curve start ,5,,,,
10:14.0,6/17/25,12:10:13,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:14.0,6/17/25,12:10:13,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:15.4,6/17/25,12:10:15,FO,87,187,309,0,0.395,0,0.395
10:21.1,6/17/25,12:10:21,SLCE,,Light Curve end ,,,,,
10:46.1,6/17/25,12:10:46,SLCS,,Light Curve start ,5,,,,
10:46.1,6/17/25,12:10:46,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:46.1,6/17/25,12:10:46,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
10:47.5,6/17/25,12:10:47,FO,88,163,253,0,0.356,0,0.356
10:52.3,6/17/25,12:10:52,SLCE,,Light Curve end ,,,,,
11:02.8,6/17/25,12:11:02,SLCS,,Light Curve start ,5,,,,
11:02.8,6/17/25,12:11:02,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:02.8,6/17/25,12:11:02,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
11:04.2,6/17/25,12:11:04,FO,89,228,384,0,0.406,0,0.406
11:10.1,6/17/25,12:11:10,SLCE,,Light Curve end ,,,,,
12:25.6,6/17/25,12:12:25,SLCS,,Light Curve start ,6,,,,
12:25.6,6/17/25,12:12:25,REG1,,#1: Error: Not enough measures for calculating regression data ,,,,,
12:25.6,6/17/25,12:12:25,REG2,,#1: Error: Not enough measures for calculating regression data ,,,,,
