"","plant_part","bin","run","date","max_temp","min_temp","mean_temp"
"283","understory",11,2,2024-08-06,28.66,23.05,25.5947222222222
"284","understory",11,2,2024-08-07,29.5,24.14,26.4748611111111
"285","understory",11,2,2024-08-08,29.23,25.08,26.8757638888889
"286","understory",11,2,2024-08-09,28.94,24.24,26.4248611111111
"287","understory",11,2,2024-08-10,27.46,24.52,26.1379166666667
"288","understory",11,2,2024-08-11,27.61,24.75,26.0595833333333
"289","understory",11,3,2024-08-12,28.36,24.46,26.1661111111111
"290","understory",11,3,2024-08-13,30.45,25.7,27.5833333333333
"291","understory",11,3,2024-08-14,30.14,26.21,28.0076388888889
"292","understory",11,3,2024-08-15,29.37,26.62,27.789375
"293","understory",11,3,2024-08-16,31.19,25.97,28.3503472222222
"294","understory",11,3,2024-08-17,31.07,26.64,28.4952083333333
"295","understory",11,3,2024-08-18,28.29,25.57,26.8699305555556
"296","understory",11,3,2024-08-19,28.66,25.11,26.605625
"297","understory",11,3,2024-08-20,30.47,25.02,26.8223846153846
"298","understory",12,1,2024-07-25,33.69,25.95,29.5193333333333
"299","understory",12,1,2024-07-26,29.91,24.58,27.0282638888889
"300","understory",12,1,2024-07-27,26.67,24.24,25.3477083333333
"301","understory",12,1,2024-07-28,27.09,23.32,25.0227777777778
"302","understory",12,1,2024-07-29,25.54,22.71,24.6438194444444
"303","understory",12,1,2024-07-30,27.9,24.42,25.8316666666667
"304","understory",12,1,2024-07-31,28.31,24.23,25.9738194444444
"305","understory",12,1,2024-08-01,27.85,23.89,25.5390972222222
"306","understory",12,1,2024-08-02,29.38,23.71,26.4724305555556
"307","understory",12,2,2024-08-03,27.16,24.04,25.5490070921986
"308","understory",12,2,2024-08-04,27.59,24.31,25.8072916666667
"309","understory",12,2,2024-08-05,28.61,23.76,25.7498611111111
"310","understory",12,2,2024-08-06,28.33,22.76,25.4213888888889
"311","understory",12,2,2024-08-07,29.43,23.83,26.3435416666667
"312","understory",12,2,2024-08-08,28.79,24.73,26.6006944444444
"313","understory",12,2,2024-08-09,28.77,23.97,26.2989583333333
"314","understory",12,2,2024-08-10,27.65,24.23,26.0071527777778
"315","understory",12,2,2024-08-11,27.81,24.48,26.0063194444444
"316","understory",12,3,2024-08-12,28.28,24.4,26.2302777777778
"317","understory",12,3,2024-08-13,30.37,25.74,27.673125
"318","understory",12,3,2024-08-14,30.91,26.07,28.4169444444444
"319","understory",12,3,2024-08-15,29.38,26.49,27.72125
"320","understory",12,3,2024-08-16,30.51,25.88,28.0286111111111
"321","understory",12,3,2024-08-17,30.21,26.33,28.0753472222222
"322","understory",12,3,2024-08-18,28.05,25.06,26.5241666666667
"323","understory",12,3,2024-08-19,28.83,24.78,26.4625694444444
"324","understory",12,3,2024-08-20,29.47,24.26,26.4680769230769
