#,Date-Time (HST),Temperature   (°C),Started,Host Connected,End of File,datetime,date,time
8641,03/07/2025 05:50:00,20.804,NA,NA,NA,2025-03-07T05:50:00Z,2025-03-07,05:50:00
8642,03/07/2025 06:00:00,20.772,NA,NA,NA,2025-03-07T06:00:00Z,2025-03-07,06:00:00
8643,03/07/2025 06:10:00,21.233,NA,NA,NA,2025-03-07T06:10:00Z,2025-03-07,06:10:00
8644,03/07/2025 06:20:00,21.576,NA,NA,NA,2025-03-07T06:20:00Z,2025-03-07,06:20:00
8645,03/07/2025 06:30:00,21.662,NA,NA,NA,2025-03-07T06:30:00Z,2025-03-07,06:30:00
8646,03/07/2025 06:40:00,21.726,NA,NA,NA,2025-03-07T06:40:00Z,2025-03-07,06:40:00
8647,03/07/2025 06:50:00,21.758,NA,NA,NA,2025-03-07T06:50:00Z,2025-03-07,06:50:00
8648,03/07/2025 07:00:00,21.801,NA,NA,NA,2025-03-07T07:00:00Z,2025-03-07,07:00:00
8649,03/07/2025 07:10:00,21.834,NA,NA,NA,2025-03-07T07:10:00Z,2025-03-07,07:10:00
8650,03/07/2025 07:20:00,21.876,NA,NA,NA,2025-03-07T07:20:00Z,2025-03-07,07:20:00
8651,03/07/2025 07:30:00,21.919,NA,NA,NA,2025-03-07T07:30:00Z,2025-03-07,07:30:00
8652,03/07/2025 07:40:00,21.952,NA,NA,NA,2025-03-07T07:40:00Z,2025-03-07,07:40:00
8653,03/07/2025 07:50:00,21.962,NA,NA,NA,2025-03-07T07:50:00Z,2025-03-07,07:50:00
8654,03/07/2025 08:00:00,21.973,NA,NA,NA,2025-03-07T08:00:00Z,2025-03-07,08:00:00
8655,03/07/2025 08:10:00,21.984,NA,NA,NA,2025-03-07T08:10:00Z,2025-03-07,08:10:00
8656,03/07/2025 08:20:00,22.005,NA,NA,NA,2025-03-07T08:20:00Z,2025-03-07,08:20:00
8657,03/07/2025 08:30:00,22.059,NA,NA,NA,2025-03-07T08:30:00Z,2025-03-07,08:30:00
8658,03/07/2025 08:40:00,22.048,NA,NA,NA,2025-03-07T08:40:00Z,2025-03-07,08:40:00
8659,03/07/2025 08:50:00,22.069,NA,NA,NA,2025-03-07T08:50:00Z,2025-03-07,08:50:00
8660,03/07/2025 09:00:00,22.123,NA,NA,NA,2025-03-07T09:00:00Z,2025-03-07,09:00:00
8661,03/07/2025 09:10:00,22.102,NA,NA,NA,2025-03-07T09:10:00Z,2025-03-07,09:10:00
8662,03/07/2025 09:20:00,22.08,NA,NA,NA,2025-03-07T09:20:00Z,2025-03-07,09:20:00
8663,03/07/2025 09:30:00,22.145,NA,NA,NA,2025-03-07T09:30:00Z,2025-03-07,09:30:00
8664,03/07/2025 09:40:00,22.123,NA,NA,NA,2025-03-07T09:40:00Z,2025-03-07,09:40:00
8665,03/07/2025 09:50:00,22.134,NA,NA,NA,2025-03-07T09:50:00Z,2025-03-07,09:50:00
8666,03/07/2025 10:00:00,22.187,NA,NA,NA,2025-03-07T10:00:00Z,2025-03-07,10:00:00
8667,03/07/2025 10:10:00,22.252,NA,NA,NA,2025-03-07T10:10:00Z,2025-03-07,10:10:00
8668,03/07/2025 10:20:00,22.295,NA,NA,NA,2025-03-07T10:20:00Z,2025-03-07,10:20:00
8669,03/07/2025 10:30:00,22.327,NA,NA,NA,2025-03-07T10:30:00Z,2025-03-07,10:30:00
8670,03/07/2025 10:40:00,22.327,NA,NA,NA,2025-03-07T10:40:00Z,2025-03-07,10:40:00
8671,03/07/2025 10:50:00,22.381,NA,NA,NA,2025-03-07T10:50:00Z,2025-03-07,10:50:00
8672,03/07/2025 11:00:00,22.445,NA,NA,NA,2025-03-07T11:00:00Z,2025-03-07,11:00:00
8673,03/07/2025 11:10:00,22.445,NA,NA,NA,2025-03-07T11:10:00Z,2025-03-07,11:10:00
8674,03/07/2025 11:20:00,22.509,NA,NA,NA,2025-03-07T11:20:00Z,2025-03-07,11:20:00
8675,03/07/2025 11:30:00,22.531,NA,NA,NA,2025-03-07T11:30:00Z,2025-03-07,11:30:00
8676,03/07/2025 11:40:00,22.498,NA,NA,NA,2025-03-07T11:40:00Z,2025-03-07,11:40:00
8677,03/07/2025 11:50:00,22.563,NA,NA,NA,2025-03-07T11:50:00Z,2025-03-07,11:50:00
8678,03/07/2025 12:00:00,22.606,NA,NA,NA,2025-03-07T12:00:00Z,2025-03-07,12:00:00
8679,03/07/2025 12:10:00,22.702,NA,NA,NA,2025-03-07T12:10:00Z,2025-03-07,12:10:00
8680,03/07/2025 12:20:00,22.724,NA,NA,NA,2025-03-07T12:20:00Z,2025-03-07,12:20:00
8681,03/07/2025 12:30:00,22.767,NA,NA,NA,2025-03-07T12:30:00Z,2025-03-07,12:30:00
8682,03/07/2025 12:40:00,22.874,NA,NA,NA,2025-03-07T12:40:00Z,2025-03-07,12:40:00
8683,03/07/2025 12:50:00,22.82,NA,NA,NA,2025-03-07T12:50:00Z,2025-03-07,12:50:00
8684,03/07/2025 13:00:00,22.97,NA,NA,NA,2025-03-07T13:00:00Z,2025-03-07,13:00:00
